llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J11339;True;CWE-20;10.963137149810791;total_tokens: 1808, completion_tokens: 139, prompt_tokens: 1669;0.020860000000000004;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J10755;True;CWE-129;14.288732051849365;total_tokens: 1716, completion_tokens: 135, prompt_tokens: 1581;0.01986;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J11015;False;CWE-400 CWE-129;15.667217254638672;total_tokens: 2680, completion_tokens: 208, prompt_tokens: 2472;0.03096;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J11014;True;CWE-400;16.611478805541992;total_tokens: 1507, completion_tokens: 172, prompt_tokens: 1335;0.01851;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J11609;True;CWE-20;3.7970921993255615;total_tokens: 931, completion_tokens: 52, prompt_tokens: 879;0.010350000000000002;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J11559;True;CWE-20;4.114859580993652;total_tokens: 884, completion_tokens: 53, prompt_tokens: 831;0.0099;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J11558;True;CWE-20;4.669070720672607;total_tokens: 433, completion_tokens: 49, prompt_tokens: 384;0.00531;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J11608;True;CWE-129;6.637501001358032;total_tokens: 444, completion_tokens: 48, prompt_tokens: 396;0.0054;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J11559;True;CWE-20;8.014121294021606;total_tokens: 1903, completion_tokens: 114, prompt_tokens: 1789;0.021310000000000003;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J11609;True;CWE-20;9.126774311065674;total_tokens: 2002, completion_tokens: 118, prompt_tokens: 1884;0.022380000000000004;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J11558;True;CWE-20;9.685069799423218;total_tokens: 1009, completion_tokens: 118, prompt_tokens: 891;0.01245;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J11608;True;CWE-129;13.109253168106079;total_tokens: 1030, completion_tokens: 116, prompt_tokens: 914;0.01262;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J12326;True;CWE-129;2.7399158477783203;total_tokens: 503, completion_tokens: 48, prompt_tokens: 455;0.0059900000000000005;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J12752;True;CWE-129;4.93686056137085;total_tokens: 375, completion_tokens: 69, prompt_tokens: 306;0.00513;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J12499;True;CWE-22;4.954733848571777;total_tokens: 1005, completion_tokens: 77, prompt_tokens: 928;0.01159;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J12225;True;CWE-129;5.562511444091797;total_tokens: 695, completion_tokens: 76, prompt_tokens: 619;0.00847;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J12291;True;CWE-22;6.207868576049805;total_tokens: 1039, completion_tokens: 99, prompt_tokens: 940;0.01237;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J12498;True;CWE-22;6.928004026412964;total_tokens: 582, completion_tokens: 97, prompt_tokens: 485;0.0077599999999999995;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J12326;True;CWE-129;7.655673980712891;total_tokens: 1150, completion_tokens: 118, prompt_tokens: 1032;0.013860000000000003;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J12224;True;CWE-129;7.7723708152771;total_tokens: 334, completion_tokens: 61, prompt_tokens: 273;0.00456;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J12753;True;CWE-338;7.803595304489136;total_tokens: 772, completion_tokens: 94, prompt_tokens: 678;0.0096;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J12290;True;CWE-22;8.208752870559692;total_tokens: 564, completion_tokens: 104, prompt_tokens: 460;0.007720000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J12327;True;CWE-22;8.861654996871948;total_tokens: 669, completion_tokens: 99, prompt_tokens: 570;0.00867;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J12752;False;;9.923445224761963;total_tokens: 882, completion_tokens: 127, prompt_tokens: 755;0.01136;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J12499;False;CWE-22;11.970258712768555;total_tokens: 2167, completion_tokens: 160, prompt_tokens: 2007;0.024870000000000003;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J12225;True;CWE-129;12.64061427116394;total_tokens: 1544, completion_tokens: 156, prompt_tokens: 1388;0.01856;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J12291;False;CWE-22;12.735940217971802;total_tokens: 2250, completion_tokens: 197, prompt_tokens: 2053;0.02644;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J12753;False;;13.50692629814148;total_tokens: 1687, completion_tokens: 163, prompt_tokens: 1524;0.020130000000000002;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J12498;False;CWE-22 CWE-129;15.076863527297974;total_tokens: 1355, completion_tokens: 214, prompt_tokens: 1141;0.01783;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J12290;False;CWE-22;15.417721033096313;total_tokens: 1316, completion_tokens: 218, prompt_tokens: 1098;0.01752;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J12224;True;CWE-129;16.36857843399048;total_tokens: 839, completion_tokens: 158, prompt_tokens: 681;0.011550000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J12327;False;;17.149757385253906;total_tokens: 1520, completion_tokens: 207, prompt_tokens: 1313;0.019340000000000003;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J13101;True;CWE-129;4.328155994415283;total_tokens: 1146, completion_tokens: 51, prompt_tokens: 1095;0.012480000000000002;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J12930;True;CWE-129;4.517201662063599;total_tokens: 333, completion_tokens: 54, prompt_tokens: 279;0.00441;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J12931;True;CWE-129;5.474153280258179;total_tokens: 689, completion_tokens: 75, prompt_tokens: 614;0.00839;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J13100;True;CWE-400;6.778581380844116;total_tokens: 618, completion_tokens: 77, prompt_tokens: 541;0.007720000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J13101;False;CWE-190;9.428980588912964;total_tokens: 2459, completion_tokens: 144, prompt_tokens: 2315;0.02747;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J12931;True;CWE-129;11.596574306488037;total_tokens: 1538, completion_tokens: 161, prompt_tokens: 1377;0.0186;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J13100;True;CWE-400;12.165531635284424;total_tokens: 1384, completion_tokens: 151, prompt_tokens: 1233;0.01686;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J12930;False;CWE-129 CWE-681 CWE-190;14.809155225753784;total_tokens: 892, completion_tokens: 206, prompt_tokens: 686;0.01304;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J14375;True;CWE-20;4.8291099071502686;total_tokens: 764, completion_tokens: 57, prompt_tokens: 707;0.008780000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J14374;True;CWE-190;5.1002936363220215;total_tokens: 395, completion_tokens: 72, prompt_tokens: 323;0.005390000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J14350;True;CWE-190;5.550617933273315;total_tokens: 398, completion_tokens: 54, prompt_tokens: 344;0.005059999999999999;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J14351;True;CWE-89;8.842429876327515;total_tokens: 624, completion_tokens: 119, prompt_tokens: 505;0.00862;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J14350;True;CWE-190;9.732683658599854;total_tokens: 925, completion_tokens: 109, prompt_tokens: 816;0.01143;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J14375;False;;10.683426141738892;total_tokens: 1656, completion_tokens: 111, prompt_tokens: 1545;0.01878;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J14374;False;;11.728692531585693;total_tokens: 952, completion_tokens: 160, prompt_tokens: 792;0.012720000000000002;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J14351;False;CWE-89;14.323328018188477;total_tokens: 1412, completion_tokens: 209, prompt_tokens: 1203;0.018299999999999997;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J14729;True;CWE-400;5.452842712402344;total_tokens: 1311, completion_tokens: 64, prompt_tokens: 1247;0.01439;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J14728;True;CWE-190;6.062203884124756;total_tokens: 672, completion_tokens: 79, prompt_tokens: 593;0.0083;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J14944;True;CWE-22;7.865071058273315;total_tokens: 535, completion_tokens: 82, prompt_tokens: 453;0.0069900000000000006;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J14728;True;CWE-190;13.4089834690094;total_tokens: 1517, completion_tokens: 178, prompt_tokens: 1339;0.01873;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J14729;False;CWE-400 CWE-190;13.657910108566284;total_tokens: 2813, completion_tokens: 181, prompt_tokens: 2632;0.03175;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J14945;True;CWE-22;14.949872255325317;total_tokens: 1061, completion_tokens: 99, prompt_tokens: 962;0.01259;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J14944;True;CWE-22;16.362873315811157;total_tokens: 1221, completion_tokens: 159, prompt_tokens: 1062;0.015390000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J14945;False;;20.683841228485107;total_tokens: 2282, completion_tokens: 185, prompt_tokens: 2097;0.026520000000000002;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J15370;True;CWE-20;4.03671407699585;total_tokens: 567, completion_tokens: 59, prompt_tokens: 508;0.00685;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J15377;True;CWE-20;4.034308195114136;total_tokens: 1134, completion_tokens: 47, prompt_tokens: 1087;0.012280000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J15937;True;CWE-20;4.559698581695557;total_tokens: 893, completion_tokens: 59, prompt_tokens: 834;0.01011;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J15729;False;;4.838728904724121;total_tokens: 699, completion_tokens: 68, prompt_tokens: 631;0.008350000000000002;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J15936;True;CWE-20;5.077122688293457;total_tokens: 791, completion_tokens: 73, prompt_tokens: 718;0.00937;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J15376;True;CWE-20;5.131198883056641;total_tokens: 593, completion_tokens: 69, prompt_tokens: 524;0.0073100000000000005;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J15728;False;;5.268959045410156;total_tokens: 360, completion_tokens: 71, prompt_tokens: 289;0.005019999999999999;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J15891;True;CWE-190;5.252881288528442;total_tokens: 670, completion_tokens: 66, prompt_tokens: 604;0.00802;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J15371;True;CWE-20;5.803092956542969;total_tokens: 1124, completion_tokens: 59, prompt_tokens: 1065;0.01242;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J15890;True;CWE-190;5.857057094573975;total_tokens: 536, completion_tokens: 57, prompt_tokens: 479;0.006500000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J15936;True;CWE-20;7.7416558265686035;total_tokens: 1711, completion_tokens: 128, prompt_tokens: 1583;0.01967;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J15377;True;CWE-20;8.312025785446167;total_tokens: 2398, completion_tokens: 103, prompt_tokens: 2295;0.02604;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J15370;True;CWE-20;8.60183334350586;total_tokens: 1270, completion_tokens: 121, prompt_tokens: 1149;0.01512;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J15376;True;CWE-20;9.808427095413208;total_tokens: 1326, completion_tokens: 135, prompt_tokens: 1191;0.015960000000000002;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J15937;True;CWE-20;9.975863695144653;total_tokens: 1919, completion_tokens: 118, prompt_tokens: 1801;0.02155;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J15891;True;CWE-190;10.312796831130981;total_tokens: 1487, completion_tokens: 139, prompt_tokens: 1348;0.01765;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J15890;True;CWE-190;10.985812664031982;total_tokens: 1214, completion_tokens: 125, prompt_tokens: 1089;0.014640000000000002;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J15371;True;CWE-20;11.093832015991211;total_tokens: 2388, completion_tokens: 125, prompt_tokens: 2263;0.02638;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J15728;True;CWE-190;12.459216833114624;total_tokens: 871, completion_tokens: 148, prompt_tokens: 723;0.01167;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J15729;True;CWE-190;14.72888994216919;total_tokens: 1611, completion_tokens: 207, prompt_tokens: 1404;0.020250000000000004;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J16261;True;CWE-190;3.560020685195923;total_tokens: 621, completion_tokens: 44, prompt_tokens: 577;0.00709;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J16260;True;CWE-190;4.590219974517822;total_tokens: 319, completion_tokens: 49, prompt_tokens: 270;0.00417;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J16950;True;CWE-20;4.645374298095703;total_tokens: 594, completion_tokens: 61, prompt_tokens: 533;0.0071600000000000006;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J16322;True;CWE-190;4.826152801513672;total_tokens: 323, completion_tokens: 49, prompt_tokens: 274;0.00421;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J16951;True;CWE-20;5.4595441818237305;total_tokens: 745, completion_tokens: 81, prompt_tokens: 664;0.00907;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J16323;False;;5.885425567626953;total_tokens: 461, completion_tokens: 85, prompt_tokens: 376;0.0063100000000000005;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J17186;False;;6.212107419967651;total_tokens: 381, completion_tokens: 77, prompt_tokens: 304;0.00535;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J17187;False;;7.053335666656494;total_tokens: 698, completion_tokens: 75, prompt_tokens: 623;0.008480000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J16261;True;CWE-190;8.040045261383057;total_tokens: 1380, completion_tokens: 108, prompt_tokens: 1272;0.015960000000000002;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J16260;True;CWE-190;9.237471342086792;total_tokens: 775, completion_tokens: 112, prompt_tokens: 663;0.00999;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J16950;True;CWE-20;9.565005540847778;total_tokens: 1324, completion_tokens: 123, prompt_tokens: 1201;0.0157;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J16322;False;;9.718095064163208;total_tokens: 777, completion_tokens: 106, prompt_tokens: 671;0.00989;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J16951;True;CWE-20;10.065413475036621;total_tokens: 1626, completion_tokens: 143, prompt_tokens: 1483;0.019119999999999998;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J16323;True;CWE-190;11.691524505615234;total_tokens: 1078, completion_tokens: 167, prompt_tokens: 911;0.01412;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J17186;True;CWE-197;12.685477256774902;total_tokens: 933, completion_tokens: 174, prompt_tokens: 759;0.012809999999999998;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J17187;True;CWE-190;18.379127979278564;total_tokens: 1577, completion_tokens: 182, prompt_tokens: 1395;0.019410000000000004;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J17318;True;CWE-190;3.4913523197174072;total_tokens: 348, completion_tokens: 46, prompt_tokens: 302;0.0044;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J18138;True;CWE-20;4.30936598777771;total_tokens: 553, completion_tokens: 57, prompt_tokens: 496;0.00667;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J18108;True;CWE-20;4.414660692214966;total_tokens: 544, completion_tokens: 57, prompt_tokens: 487;0.00658;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J18109;True;CWE-20;4.5354814529418945;total_tokens: 1044, completion_tokens: 58, prompt_tokens: 986;0.0116;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J17866;True;CWE-807;5.223327875137329;total_tokens: 413, completion_tokens: 58, prompt_tokens: 355;0.00529;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J17867;True;CWE-807;5.6369500160217285;total_tokens: 744, completion_tokens: 72, prompt_tokens: 672;0.008879999999999999;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J17319;False;;6.245829105377197;total_tokens: 699, completion_tokens: 84, prompt_tokens: 615;0.00867;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J18139;True;CWE-20;6.474157810211182;total_tokens: 697, completion_tokens: 72, prompt_tokens: 625;0.00841;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J17318;True;CWE-190;8.061877012252808;total_tokens: 830, completion_tokens: 106, prompt_tokens: 724;0.010419999999999999;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J18108;True;CWE-20;9.73555588722229;total_tokens: 1237, completion_tokens: 132, prompt_tokens: 1105;0.015009999999999999;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J18109;True;CWE-20;9.774972438812256;total_tokens: 2227, completion_tokens: 123, prompt_tokens: 2104;0.02473;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J18138;True;CWE-20;9.977193593978882;total_tokens: 1251, completion_tokens: 128, prompt_tokens: 1123;0.01507;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J17866;False;;10.273596286773682;total_tokens: 972, completion_tokens: 130, prompt_tokens: 842;0.012320000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J17867;False;;10.86887788772583;total_tokens: 1621, completion_tokens: 131, prompt_tokens: 1490;0.01883;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J18139;True;CWE-20;11.09519362449646;total_tokens: 1534, completion_tokens: 138, prompt_tokens: 1396;0.018099999999999998;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J17319;True;CWE-190;15.40809154510498;total_tokens: 1610, completion_tokens: 222, prompt_tokens: 1388;0.020540000000000003;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J18264;True;CWE-23;3.767380714416504;total_tokens: 810, completion_tokens: 51, prompt_tokens: 759;0.00912;2024-02-05
